id,level,word,article,plural,translation,example,partOfSpeech,topic,tags,lessonId
,B2,der Vermerk,der,die Vermerke,memo,Der Vermerk wurde verteilt.,noun,Professional communication,b2;professional,B2_lesson_general
,B2,die Weisung,die,die Weisungen,instruction,Die Weisung ist bindend.,noun,Professional communication,b2;professional,B2_lesson_general
,B2,die Unterschrift,die,die Unterschriften,signature,Die Unterschrift fehlt noch.,noun,Professional communication,b2;professional,B2_lesson_general
,B2,die Vorlage,die,die Vorlagen,template,Die Vorlage ist fertig.,noun,Professional communication,b2;professional,B2_lesson_general
,B2,der Anhang,der,die Anhänge,attachment,Der Anhang enthält die Datei.,noun,Professional communication,b2;professional,B2_lesson_general
,B2,die Zusage,die,die Zusagen,acceptance,Die Zusage ist da.,noun,Professional communication,b2;professional,B2_lesson_general
,B2,die Anfrage,die,die Anfragen,inquiry,Die Anfrage wurde beantwortet.,noun,Professional communication,b2;professional,B2_lesson_general
,B2,die Aufforderung,die,die Aufforderungen,request,Die Aufforderung kam per Post.,noun,Professional communication,b2;professional,B2_lesson_general
,B2,die Ablehnung,die,die Ablehnungen,refusal,Die Ablehnung wurde begründet.,noun,Professional communication,b2;professional,B2_lesson_general
,B2,die Stellungnahme,die,die Stellungnahmen,statement,Die Stellungnahme ist fällig.,noun,Professional communication,b2;professional,B2_lesson_general
,B2,die Beauftragung,die,die Beauftragungen,assignment,Die Beauftragung erfolgte schriftlich.,noun,Professional communication,b2;professional,B2_lesson_general
,B2,die Gehaltserhöhung,die,die Gehaltserhöhungen,salary increase,Die Gehaltserhöhung wurde beantragt.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,die Arbeitsumgebung,die,die Arbeitsumgebungen,work environment,Die Arbeitsumgebung verbessert sich.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,die Betriebsvereinbarung,die,die Betriebsvereinbarungen,works agreement,Die Vereinbarung regelt die Pausen.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,die Stellenausschreibung,die,die Stellenausschreibungen,job posting,Die Ausschreibung ist online.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,der Lebenslauf,der,die Lebensläufe,CV,Der Lebenslauf ist aktuell.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,das Anschreiben,das,die Anschreiben,cover letter,Das Anschreiben ist wichtig.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,die Probezeit,die,die Probezeiten,probation period,Die Probezeit dauert sechs Monate.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,die Befristung,die,die Befristungen,fixed term,Die Befristung ist zulässig.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,das Gehalt,das,die Gehälter,salary,Das Gehalt wird überwiesen.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,die Überstunde,die,die Überstunden,overtime,Überstunden werden vergütet.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,der Arbeitsschutz,der,,occupational safety,Der Arbeitsschutz hat Priorität.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,die Gewerkschaft,die,die Gewerkschaften,trade union,Die Gewerkschaft verhandelt.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,der Tarifvertrag,der,die Tarifverträge,collective agreement,Der Tarifvertrag gilt für alle.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,die Sozialleistung,die,die Sozialleistungen,social benefit,Sozialleistungen sind wichtig.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,der Ausbildungsplatz,der,die Ausbildungsplätze,training position,Der Platz ist noch frei.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,die Personalabteilung,die,die Personalabteilungen,HR department,Die Personalabteilung hilft.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,die Kündigungsfrist,die,die Kündigungsfristen,notice period,Die Frist beträgt drei Monate.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,das Arbeitszeugnis,das,die Arbeitszeugnisse,reference letter,Das Zeugnis ist sehr gut.,noun,Work and professional,b2;workplace,B2_lesson_general
,B2,die Pressemitteilung,die,die Pressemitteilungen,press release,Die PM wurde veröffentlicht.,noun,Media and communication,b2;media,B2_lesson_general
,B2,der Sender,der,die Sender,broadcaster,Der Sender zeigt Nachrichten.,noun,Media and communication,b2;media,B2_lesson_general
,B2,das Interview,das,die Interviews,interview,Das Interview wurde aufgezeichnet.,noun,Media and communication,b2;media,B2_lesson_general
,B2,die Offentlichkeit,die,,public,Die Offentlichkeit wurde informiert.,noun,Media and communication,b2;media,B2_lesson_general
