id,level,word,article,plural,translation,example,partOfSpeech,topic,tags,lessonId
A1_v001,A1,Hallo,,,hello,Hallo: hello,other,Greetings,a1,A1_lesson_1
A1_v002,A1,Tschuss,,,bye,Tschuss: bye,other,Greetings,a1,A1_lesson_19
A1_v003,A1,Guten Morgen,,,good morning,Guten Morgen: good morning,other,Greetings,a1,A1_lesson_1
A1_v004,A1,Guten Abend,,,good evening,Guten Abend: good evening,other,Greetings,a1,A1_lesson_19
A1_v005,A1,Gute Nacht,,,good night,Gute Nacht: good night,other,Greetings,a1,A1_lesson_1
A1_v006,A1,Auf Wiedersehen,,,goodbye,Auf Wiedersehen: goodbye,other,Greetings,a1,A1_lesson_19
A1_v007,A1,Bitte,,,please,Bitte: please,other,Greetings,a1,A1_lesson_1
A1_v008,A1,Danke,,,thanks,Danke: thanks,other,Greetings,a1,A1_lesson_19
A1_v009,A1,Entschuldigung,,,excuse me,Entschuldigung: excuse me,other,Greetings,a1,A1_lesson_1
A1_v010,A1,Ja,,,yes,Ja: yes,other,Greetings,a1,A1_lesson_19
A1_v011,A1,Nein,,,no,Nein: no,other,Greetings,a1,A1_lesson_1
A1_v012,A1,Vater,der,die Väter,father,der Vater: father,noun,Family,a1,A1_lesson_3
A1_v013,A1,Mutter,die,die Mutter,mother,die Mutter: mother,noun,Family,a1,A1_lesson_13
A1_v014,A1,Bruder,der,die Brüder,brother,der Bruder: brother,noun,Family,a1,A1_lesson_3
A1_v015,A1,Schwester,die,die Schwester,sister,die Schwester: sister,noun,Family,a1,A1_lesson_13
A1_v016,A1,Sohn,der,die Söhne,son,der Sohn: son,noun,Family,a1,A1_lesson_3
A1_v017,A1,Tochter,die,die Tochter,daughter,die Tochter: daughter,noun,Family,a1,A1_lesson_13
A1_v018,A1,Grossvater,der,die Grossväter,grandfather,der Grossvater: grandfather,noun,Family,a1,A1_lesson_3
A1_v019,A1,Grossmutter,die,die Grossmutter,grandmother,die Grossmutter: grandmother,noun,Family,a1,A1_lesson_13
A1_v020,A1,Onkel,der,die Onkel,uncle,der Onkel: uncle,noun,Family,a1,A1_lesson_3
A1_v021,A1,Tante,die,die Tante,aunt,die Tante: aunt,noun,Family,a1,A1_lesson_13
A1_v022,A1,null,,,zero,null: zero,other,Numbers,a1,A1_lesson_2
A1_v023,A1,eins,,,one,eins: one,other,Numbers,a1,A1_lesson_24
A1_v024,A1,zwei,,,two,zwei: two,other,Numbers,a1,A1_lesson_2
A1_v025,A1,drei,,,three,drei: three,other,Numbers,a1,A1_lesson_24
A1_v026,A1,vier,,,four,vier: four,other,Numbers,a1,A1_lesson_2
A1_v027,A1,funf,,,five,funf: five,other,Numbers,a1,A1_lesson_24
A1_v028,A1,sechs,,,six,sechs: six,other,Numbers,a1,A1_lesson_2
A1_v029,A1,sieben,,,seven,sieben: seven,other,Numbers,a1,A1_lesson_24
A1_v030,A1,acht,,,eight,acht: eight,other,Numbers,a1,A1_lesson_2
A1_v031,A1,neun,,,nine,neun: nine,other,Numbers,a1,A1_lesson_24
A1_v032,A1,rot,,,red,rot: red,other,Colors,a1,A1_lesson_12
A1_v033,A1,blau,,,blue,blau: blue,other,Colors,a1,A1_lesson_12
A1_v034,A1,grun,,,green,grun: green,other,Colors,a1,A1_lesson_12
A1_v035,A1,gelb,,,yellow,gelb: yellow,other,Colors,a1,A1_lesson_12
A1_v036,A1,schwarz,,,black,schwarz: black,other,Colors,a1,A1_lesson_12
A1_v037,A1,weiss,,,white,weiss: white,other,Colors,a1,A1_lesson_12
A1_v038,A1,grau,,,gray,grau: gray,other,Colors,a1,A1_lesson_12
A1_v039,A1,braun,,,brown,braun: brown,other,Colors,a1,A1_lesson_12
A1_v040,A1,orange,,,orange,orange: orange,other,Colors,a1,A1_lesson_12
A1_v041,A1,lila,,,purple,lila: purple,other,Colors,a1,A1_lesson_12
A1_v042,A1,Brot,das,die Brote,bread,das Brot: bread,noun,Food,a1,A1_lesson_4
A1_v043,A1,Milch,die,die Milch,milk,die Milch: milk,noun,Food,a1,A1_lesson_9
A1_v044,A1,Kase,der,die Käse,cheese,der Kase: cheese,noun,Food,a1,A1_lesson_10
A1_v045,A1,Butter,die,die Butter,butter,die Butter: butter,noun,Food,a1,A1_lesson_20
A1_v046,A1,Ei,das,die Eier,egg,das Ei: egg,noun,Food,a1,A1_lesson_4
A1_v047,A1,Apfel,der,die Äpfel,apple,der Apfel: apple,noun,Food,a1,A1_lesson_9
A1_v048,A1,Banane,die,die Banane,banana,die Banane: banana,noun,Food,a1,A1_lesson_10
A1_v049,A1,Tomate,die,die Tomate,tomato,die Tomate: tomato,noun,Food,a1,A1_lesson_20
A1_v050,A1,Reis,der,Reise,rice,der Reis: rice,noun,Food,a1,A1_lesson_4
A1_v051,A1,Nudeln,die,die Nudeln,pasta,die Nudeln: pasta,noun,Food,a1,A1_lesson_9
A1_v052,A1,Kopf,der,die Köpfe,head,der Kopf: head,noun,Body,a1,A1_lesson_16
A1_v053,A1,Auge,das,die Augen,eye,das Auge: eye,noun,Body,a1,A1_lesson_16
A1_v054,A1,Nase,die,die Nase,nose,die Nase: nose,noun,Body,a1,A1_lesson_16
A1_v055,A1,Mund,der,die Münder,mouth,der Mund: mouth,noun,Body,a1,A1_lesson_16
A1_v056,A1,Ohr,das,die Ohren,ear,das Ohr: ear,noun,Body,a1,A1_lesson_16
A1_v057,A1,Arm,der,die Arme,arm,der Arm: arm,noun,Body,a1,A1_lesson_16
A1_v058,A1,Hand,die,die Hand,hand,die Hand: hand,noun,Body,a1,A1_lesson_16
A1_v059,A1,Bein,das,die Beine,leg,das Bein: leg,noun,Body,a1,A1_lesson_16
A1_v060,A1,Fuss,der,die Füsse,foot,der Fuss: foot,noun,Body,a1,A1_lesson_16
A1_v061,A1,Rucken,der,die Rücken,back,der Rucken: back,noun,Body,a1,A1_lesson_16
A1_v062,A1,heute,,,today,heute: today,other,Time,a1,A1_lesson_6
A1_v063,A1,morgen,der,,tomorrow,morgen: tomorrow,other,Time,a1,A1_lesson_7
A1_v064,A1,gestern,,,yesterday,gestern: yesterday,other,Time,a1,A1_lesson_6
A1_v065,A1,jetzt,,,now,jetzt: now,other,Time,a1,A1_lesson_7
A1_v066,A1,fruh,,,early,fruh: early,other,Time,a1,A1_lesson_6
A1_v067,A1,spat,,,late,spat: late,other,Time,a1,A1_lesson_7
A1_v069,A1,Mittag,der,die Mittage,noon,der Mittag: noon,noun,Time,a1,A1_lesson_7
